cue,movement,speech_start,f_in,f_out,frames,lead_frames,primary_action_frame,timing_review,subbeat_frame,subbeat_action,first_word,confidence,layout,onscreen,visual_action,vo,status
20,M03,69.220,1658,1845,187,3,1658,waveform_lead_reviewed_2026-09-15,1765,Pull back to reveal the complete loop; begin returning the staircase facade.,A,0.982218,textLeft/actionRight,A CONVEYOR DISGUISED AS STAIRS,Pull back to the full loop carrying a crowd as the staircase facade returns.,A conveyor belt powerful enough to carry a crowd of people uphill. It simply happens to be shaped like stairs.,timed
21,M04,77.000,1845,1947,102,3,1852,waveform_onset_and_lead_reviewed_2026-09-15,,,Failure,0.640227,textTop/actionCenter,FAILURE 1 · THE LANDING,Zoom into the landing interface and mark moving versus fixed surfaces.,Failure one is where the moving step meets the stationary floor.,timed
22,M04,81.260,1947,2043,96,3,1947,,,,Those,0.995411,textLeft/actionRight,THE RIDGES,Highlight the step ridges beneath one ordinary shoe.,Those ridges beneath your shoes have an important job at the landing.,timed
23,M04,85.260,2043,2269,226,3,2045,waveform_lead_reviewed_2026-09-15,2152,"Introduce lace, coin and clothing silhouettes toward the comb.",Their,0.888145,textTop/actionCenter,GROOVES + TEETH,Macro mesh: comb teeth enter the grooves as three loose-object silhouettes approach.,"Their grooves mesh with the teeth of the yellow comb plate, leaving very little open space for a lace, coin or piece of clothing to follow the step underneath.",timed
24,M04,94.680,2269,2340,71,3,2269,,,,Small,0.832274,actionOnly,LIFTED CLEAR,Lift a lace and coin onto the stationary landing.,Small objects are meant to be lifted clear instead.,timed
25,M04,97.620,2340,2419,79,3,2340,,,,but,0.983311,textLeft/actionRight,THE PLATE MOVES,A trapped object pushes the comb plate backward.,"But if something jams, the comb plate can move.",timed
26,M04,100.920,2419,2569,150,3,2421,waveform_lead_reviewed_2026-09-15,,,"Barely,",0.981376,textTop/actionCenter,A FEW MILLIMETRES,"Measure the tiny travel, close the switch, then halt the entire loop.",Barely. A few millimetres of movement operates a safety switch and stops the drive.,timed
27,M04,107.180,2569,2635,66,3,2569,,,,The,0.965796,textLeft/actionRight,THE FLOOR IS THE SWITCH,Reduce the landing to a simple plate-switch diagram.,The floor is the switch.,timed
28,M05,109.920,2635,2702,67,3,2640,waveform_onset_and_lead_reviewed_2026-09-15,,,Failure,0.670002,textTop/actionCenter,FAILURE 2 · THE SIDES,Travel from the landing to the skirt gap beside the step.,Failure two lives along the sides.,timed
29,M05,112.700,2702,2985,283,3,2702,waveform_lead_reviewed_2026-09-15,2842,Begin deforming soft objects toward the skirt gap.,Between,0.993057,textLeft/actionRight,ONLY MILLIMETRES,"Magnify the millimetre gap, then deform soft objects toward it.","Between each moving step and the fixed skirt panel is a narrow clearance. Only millimetres — but rubber, loose fabric and small fingers do not remain conveniently rigid.",timed
30,M05,124.500,2985,3083,98,3,2985,,,,So,0.966573,textTop/actionCenter,THE BRUSH,Reveal the brush in context beside an approaching shoe.,So there are brushes. That stiff strip at ankle height.,timed
31,M05,128.600,3083,3139,56,3,3083,,,,It,0.992099,textLeft/actionRight,NOT A SHOE BRUSH,Strike out a shoe-cleaning interpretation.,It is not cleaning your shoes.,timed
32,M05,130.900,3139,3210,71,3,3139,,,,It,0.994729,textTop/actionCenter,BEFORE THE MACHINERY,Brush contacts the shoe before it can reach the skirt gap.,It is touching them BEFORE the machinery does.,timed
33,M05,133.880,3210,3303,93,3,3210,,,,The,0.992591,actionOnly,MOVE IN,The shoe shifts away from the edge toward the safe centre.,The brush warns you and nudges your foot toward the centre.,timed
34,M05,137.760,3303,3469,166,3,3305,waveform_lead_reviewed_2026-09-15,,,On,0.987934,textLeft/actionRight,SECOND LINE OF DEFENCE,An obstruction trips the secondary skirt safety path and stops the loop.,"On machines fitted with skirt-obstruction devices, something entering the gap can interrupt the safety circuit too.",timed
35,M05,144.680,3469,3582,113,3,3469,,,,The,0.993114,textTop/actionCenter,WARNING · APOLOGY,Resolve brush and switch as two sequential layers.,The brush is the warning. The switch is the apology.,timed
36,M06,149.360,3582,3661,79,3,3589,waveform_onset_and_lead_reviewed_2026-09-15,,,Failure,0.058352,textTop/actionCenter,FAILURE 3 · THE STEP,Return to the step surface and mark the tread as the hazard.,Failure three is the floor itself.,timed
37,M06,152.660,3661,3752,91,3,3661,,,,A,0.947897,textLeft/actionRight,THE STEP DROPS,Break one wheel or axle and let the step sag below its neighbours.,A damaged wheel or axle can let a step ride too low.,timed
38,M06,156.440,3752,3837,85,3,3752,,,,The,0.989018,textTop/actionCenter,NOT JUST HERE,"Hold on the sag, then move the danger marker forward.",The dangerous part is not merely the sag beneath your feet.,timed
39,M06,160.000,3837,4039,202,3,3838,waveform_lead_reviewed_2026-09-15,3958,Split from the comb-strike outcome to the open-floor-gap outcome.,It,0.992902,fullFrame,STILL MOVING,Track the low step toward the comb and preview collision versus open-gap outcomes.,"It is that the damaged step is still travelling toward the comb, where it can strike the landing — or leave an opening where the floor should be.",timed
40,M06,168.400,4039,4154,115,3,4039,,,,Step,0.707878,textLeft/actionRight,STEP-SAG DETECTOR,A fixed detector catches the lowered step before the landing.,Step-sag devices are positioned to detect that drop and stop the machine.,timed
41,M06,173.220,4154,4289,135,3,4154,,,,Other,0.997869,textTop/actionCenter,MISSING STEP,Follow an empty slot until a missing-step sensor stops it below the floor.,Other systems can detect a missing step before the empty space returns to the passenger side.,timed
42,M06,178.840,4289,4387,98,3,4289,,,,Those,0.862055,textLeft/actionRight,ONE PAIR OF SHOES,Collapse the three local hazards around one pair of shoes.,Those first three failures begin at one pair of shoes.,timed
43,M07,182.900,4387,4486,99,3,4387,,,,Failure,0.856916,textTop/actionCenter,FAILURE 4 · EVERYBODY,Pull from one pair of shoes to the entire loaded step band.,Failure four involves everybody on the same moving staircase.,timed
44,M07,187.040,4486,4713,227,3,4491,waveform_lead_reviewed_2026-09-15,4645,Bring in drive restraint against the established gravity load.,A,0.974812,textLeft/actionRight,GRAVITY HAS THE LOAD,Show gravity pulling the passenger load downhill while the drive restrains it.,"A loaded descending escalator is not simply being carried by its motor. Gravity is helping too, and the drive is controlling the descent.",timed
45,M07,196.520,4713,4793,80,3,4713,,,,The,0.994964,textTop/actionCenter,NORMAL BRAKE,Apply the normal brake at the motor and stop the connected system.,The normal brake holds the machine when it stops.,timed
46,M07,199.820,4793,4859,66,3,4793,,,,But,0.982187,fullFrame,CONNECTION LOST,Sever the drive chain between motor and step band.,But break the connection between the drive and the steps...,timed
47,M07,202.580,4859,4989,130,3,4859,,,,and,0.997413,textLeft/actionRight,MOTOR STOPPED · STEPS FREE,Hold the motor still while the detached loaded steps begin moving downhill.,and that brake may be holding the motor while the passengers are standing on something no longer attached to it.,timed
48,M08,208.000,4989,5244,255,3,5012,waveform_lead_reviewed_2026-09-15,5155,Add the broken-drive-chain detector on a separate path.,That,0.765542,textTop/actionCenter,AUXILIARY BRAKE + CHAIN DETECTOR,Add the auxiliary brake and broken-chain detector on separate paths.,That is why long or heavily loaded machines can carry a second brake farther down the drive system — plus a device specifically watching the main drive chain.,timed
49,M08,218.620,5244,5272,28,2,5244,waveform_lead_reviewed_2026-09-15,,,Different,0.886718,textLeft/actionRight,DIFFERENT TRIGGERS,Light the independent trigger inputs one at a time.,Different triggers.,timed
50,M08,219.800,5272,5309,37,3,5274,waveform_lead_reviewed_2026-09-15,,,different,0.996819,textLeft/actionRight,DIFFERENT MECHANISMS,Separate the protective devices spatially.,Different mechanisms.,timed
51,M08,221.340,5309,5365,56,3,5309,,,,overlapping,0.995257,textTop/actionCenter,OVERLAPPING PROTECTION,Stack their protected ranges over the same passenger load.,Overlapping protection.,timed
52,M08,223.660,5365,5417,52,3,5365,,,,That,0.980609,textLeft/actionRight,NOT BELT AND BRACES,Strike through a decorative redundancy diagram.,That is not belt and braces.,timed
53,M08,225.820,5417,5484,67,3,5417,,,,That,0.985675,textTop/actionCenter,THAT IS THE DESIGN,Lock the independent safety architecture into one clean system view.,That is the design.,timed
54,M09,228.640,5484,5541,57,3,5495,waveform_onset_and_lead_reviewed_2026-09-15,,,"So,",0.214067,fullFrame,HONG KONG · 25 MARCH 2017,Return abruptly to the documentary case card.,So. Hong Kong.,timed
55,M09,230.980,5541,5626,85,3,5541,,,,The,0.932618,textLeft/actionRight,ABOUT 120 PEOPLE · UP,Reconstruct the loaded escalator moving upward.,The escalator was carrying about a hundred and twenty people upwards.,timed
56,M09,234.560,5626,5673,47,3,5627,waveform_lead_reviewed_2026-09-15,,,It,0.989792,textTop/actionCenter,NOT OVERLOADED,Keep the load indicator inside its normal range.,It was not overloaded.,timed
57,M09,236.500,5673,5809,136,3,5673,,,,Its,0.918693,fullFrame,METAL FATIGUE,Show fatigue initiating and the main chain separating.,"Its main drive chain broke from metal fatigue, disconnecting the steps from their upward drive.",timed
58,M09,242.160,5809,5889,80,3,5809,,,,The,0.992560,textLeft/actionRight,WEIGHT PULLS BACK,Reverse the detached step band under the crowd's weight.,The passengers' weight pulled the step band backwards.,timed
59,M09,245.480,5889,6010,121,3,5889,,,,The,0.989050,textTop/actionCenter,BREAK → DETECT → BRAKE,Trace the expected detector-to-auxiliary-brake path.,The broken-chain device should have detected the failure and activated the back-up brake.,timed
60,M09,250.560,6010,6042,32,3,6010,waveform_lead_reviewed_2026-09-15,,,It,0.994346,textLeft/actionRight,IT DID NOT,Break the expected path before the brake.,It did not.,timed
61,M10,251.860,6042,6206,164,3,6048,waveform_onset_and_lead_reviewed_2026-09-15,,,Investigators,0.001924,textTop/actionCenter,GREASE + DUST,Macro cutaway: grease and dust bind the detector's sliding parts.,Investigators found sticky grease — formed from lubricant and dust — obstructing its moving parts.,timed
62,M10,258.700,6206,6293,87,3,6206,,,,One,0.985198,textLeft/actionRight,ONE SPRING LOCKED,Reveal both springs; the nut clamps one spring in place.,"One of its two compression springs had also been locked by a nut,",timed
63,M10,262.320,6293,6399,106,3,6293,,,,cutting,0.997153,textTop/actionCenter,ROUGHLY HALF THE FORCE,The detector force gauge drops from two springs to one.,cutting the force available to move the detector by roughly half.,timed
64,M10,266.740,6399,6443,44,3,6411,waveform_lead_reviewed_2026-09-15,,,There,0.923681,textLeft/actionRight,THERE IS THE NUT,Isolate the ordinary nut at full scale.,There is the nut.,timed
65,M10,268.600,6443,6477,34,3,6444,waveform_lead_reviewed_2026-09-15,,,The,0.988339,fullFrame,THE CHAIN BROKE,Replay the primary chain fracture as failure one.,The chain broke.,timed
66,M10,269.980,6477,6615,138,3,6477,,,,But,0.984060,textTop/actionCenter,THE WATCHER COULD NOT MOVE,"Complete the causal chain: fracture, jammed detector, absent auxiliary brake, reversal.",But the accident happened because the machine assigned to notice the break... could not move.,timed
67,M11,275.740,6615,6712,97,3,6624,waveform_onset_and_lead_reviewed_2026-09-15,,,"Tomorrow,",0.121833,textLeft/actionRight,TOMORROW,Return to an ordinary Everyman entering a calm escalator.,"Tomorrow, you will step onto an escalator without looking down.",timed
68,M11,279.800,6712,6794,82,3,6712,,,,Past,0.738766,textTop/actionCenter,COMB TEETH,Pass the camera across the comb teeth as they perform normally.,Past comb teeth meant to lift loose objects clear.,timed
69,M11,283.220,6794,6864,70,3,6794,,,,past,0.983797,textTop/actionCenter,BRUSH,Pass the brush as a shoe shifts toward centre.,Past brushes telling your feet to move.,timed
70,M11,286.140,6864,6945,81,3,6864,,,,over,0.948612,textTop/actionCenter,STEP-SAG DETECTOR,Reveal the step-sag detector beneath the moving tread.,Over detectors waiting for a step to sag.,timed
71,M11,289.480,6945,7068,123,3,6945,,,,Above,0.918170,textTop/actionCenter,CHAIN DEVICE · AUXILIARY BRAKE,Continue through the machine room to the detector and auxiliary brake.,Above a chain device and an auxiliary brake waiting for the drive to let go.,timed
72,M11,294.620,7068,7181,113,3,7068,,,,It,0.991499,textLeft/actionRight,IT FEELS LIKE STAIRS,Reassemble the cladding while the hidden devices remain faintly visible beneath.,It feels like a staircase because all of them are working to keep it feeling like one.,timed
73,M12,299.320,7181,7256,75,3,7196,waveform_onset_and_lead_reviewed_2026-09-15,,,You,0.391701,textLeft/actionRight,YOU WILL NOT NOTICE,The protective overlays disappear; only the ordinary escalator remains.,You will not notice any of them.,timed
74,M12,302.440,7256,7322,66,3,7256,,,,And,0.897119,fullFrame,WORKING AS DESIGNED,Hold on the quietly moving escalator and end without a sign-off.,and that is them working as designed.,timed
